,project,property_type,price,area,n_bedrooms,n_bathrooms,balcony_direction,legal,posted_date,post_title,post_description,post_id,Cl Gia,area_cl
10,Times City,Apartment,6300.0,160.0,>=4,unknown,unknown,unknown,2020-11-18 00:00:00 UTC,None,"Cần bán lại căn hộ 160m2 tòa T11 Times City.Căn góc, 4 phòng ngủ sáng. Diện tích: 160m2.View trọn vẹn nhạc nước Times City.Đây là căn đẹp rộng và đẹp nhất với thiết kế 4 phòng ngủ đầu tiên của Times City.Bán giá 6,3 tỷ bao toàn bộ các loại phíDo việc gia đình nên bán giá thấp như vậy.Liên hệ: 0979 098 826",15793835,4.5-7.5,150-250
11,Times City,Apartment,3200.0,87.0,2,unknown,unknown,có sổ đỏ/sổ hồng,2020-11-18 00:00:00 UTC,None,"Gia đình không có nhu cầu sử dụng nhượng lại căn hoa hậu Times City tầng đẹp tòa T07, thiết kế với 2PN thoáng, bếp riêng biệt, phòng khách rộng, 2PN đều tiếp xúc ánh sáng trực tiếp.Nội thất nguyên bản chủ đầu tư. Nhà còn rất mới, gần như chưa sử dụng.Giá bán: 3,2 tỷ. Còn miễn phí dịch vụ 6 năm.Liên hệ trực tiếp: 0913 842 237.",16642961,3-4.5,80-100
12,Times City,Apartment,3360.0,95.0,3,unknown,Nam,unknown,2020-11-17 00:00:00 UTC,None,"Rẻ chưa từng có căn 3PN Times City. DT 95m2 giá cắt lỗ 3,36 tỷ có đồ. 0968205369.- Gia đình cần bán gấp căn 3PN Times City. DT 95m2. Giá 3,36 tỷ. Nhà rất mới. Đã sửa và thay toàn bộ điều hòa 4 điều hòa. Thông tin căn hộ:- Diện tích: 95m2 là căn hộ thiết kế vuông vắn vô cùng hợp lý: 3PN, phòng khách rộng, phòng bếp thoáng, không gian căn hộ vô cùng rộng rãi. Nhà lại được nằm trong tòa trung tâm nên vô cùng thuận tiện, mật độ cư dân thấp nhất trong các tòa. Ban công Nam view thoáng.- Nội thất gồm có: Sàn gỗ, trần thạch cao, thiết bị vệ sinh, tủ bếp, tủ tường, điều hòa 2 chiều...- Giá bán: 3,36 tỷ gia đình thiện chí bao toàn bộ phí sang tên.- Liên hệ xem nhà: 0968 205 369 - 0348315712(Viber, Zalo, Message).- Email: lientrinh@bdsnhamoi.vn",27828334,3-4.5,80-100
13,Times City,Apartment,3300.0,108.0,unknown,unknown,unknown,unknown,2020-11-17 00:00:00 UTC,None,Chính chủ bán căn hộ Times City.Diện tích 108m2.Full nội thất liền tường cao cấp nhập khẩu.Liên hệ chính chủ: 0911926986.,27824703,3-4.5,100-150
14,Times City,Apartment,2000.0,53.0,1,unknown,unknown,unknown,2020-11-17 00:00:00 UTC,None,"Gia đình chuyển căn hộ lớn hơn cần chuyển nhượng căn hộ 1PN.Diện tích 53m2.Để lại toàn bộ nội thất: Tivi, tủ lạnh, máy giặt, sofa, bàn ăn,...Nhà ở giữ gìn, còn mới và sạch sẽ.Tầng trung ban công thoáng mát.Liên hệ xem nhà: 0976912495.",27817783,2-3,50-80
15,Times City,Apartment,2950.0,82.0,2,unknown,Bắc,có sổ đỏ/sổ hồng,2020-11-16 00:00:00 UTC,None,"Không có nhu cầu sử dụng chủ nhà cần gửi bán căn hộ 2 PN sáng tại khu Times City.Thông tin căn hộ:- Tổng diện tích: 82m2.- Căn hộ có thiết kế phòng khách và 2PN đều có ánh sáng trực tiếp. Cửa vào hướng Nam, ban công hướng Bắc.- Nội thất bàn giao chủ đầu tư: Sàn gỗ, trần thạch cao, thiết bị vệ sinh và thiết bị chiếu sáng đầy đủ, tủ bếp và bếp, điều hòa âm tường hai chiều, tủ âm tường.- Tiện ích được hưởng: Gần TTTM, bể bơi, hệ thống trường học liên cấp, hệ thống bệnh viện Vinmec 5 sao, sân chơi trẻ em, sân tập thể dục thể thao,.- Giá bán chỉ 2.95 tỷ bao phí sang tên (căn hộ đã có sổ).- Liên hệ để được tư vấn chi tiết và xem nhà, hotline: 0963 702 813 Phạm Thủy Chuyên viên tư vấn(zalo, viber, imessage).http://bdsnhamoi.vn",26347616,2-3,80-100
16,Times City,Apartment,3650.0,108.6,2,unknown,unknown,có sổ đỏ/sổ hồng,2020-11-14 00:00:00 UTC,None,"Đã giảm giá chào mạnh 150 triệu - rẻ nhất Times City - Cần bán gấp trong 15 ngày.+ Chính chủ cần bán căn hộ cao cấp tòa T3 Times City, DT 109 m2, 2 phòng ngủ, đầy đủ đồ nội thất chất lượng cao, căn hộ đẹp nhất Times City và duy nhất cả tầng có 2 ban công to rộng view thẳng ra quảng trường nhạc nước. Mà giá chỉ 3,65 tỷ (Có gia lộc).+ Gia chủ chịu chơi thuê Kiến trúc sư chuyên nhà Tây, thay đổi kết cấu tiện ích hợp lý hơn so với thiết kế ban đầu, từ cửa ra vào, phòng bếp, phòng ngủ, nhà vệ sinh, trần tường, nhà kho và tủ tường thông minhcùng với đầy đủ TV tủ lạnh máy giặt vi sóng cao cấp, đảm bảo bạn chỉ cần xách quần áo đến ở. Tổng chi phí bổ xung thêm mất hơn 400 triệu.+ Chủ nhà đang cho khách thuê 20 triệu/tháng, nay mới hết hợp đồng và cần tiền đầu tư dự án kinh doanh nên quyết bán.+ Sổ đỏ sẵn sàng, giao dịch chỉ trong tích tắc, chìa khóa trao tay, ở ngay nhà xịn.+ Giá chào 3,65 tỷ (full đồ, bao phí sang tên và ra lộc cho khách).+ LH chính chủ 0838826123 để tìm hiểu thêm về ngôi nhà.+ Chấp nhận môi giới để bán nhanh trong 15 ngày.",27789013,3-4.5,100-150
17,Times City,Apartment,,118.0,3,unknown,unknown,unknown,2020-11-14 00:00:00 UTC,None,"Gia đình không có nhu cầu sử dụng nên cần bán căn tòa T4 thuộc khu đô thị Times City căn hộ được thiết kế 3PN với tổng DT là 118m2, nội thất chủ đầu tư. Căn hộ đã có phí dịch vụ nay cần bán giá cả có thể thương lượng.Liên hệ xem nhà 24/24: 0947189339.",26594260,thương lượng,100-150
18,Times City,Apartment,,83.0,2,unknown,Bắc,unknown,2020-11-14 00:00:00 UTC,None,"Gia đình đang cần tiền nên muốn bán căn hộ 83m2, 2PN tòa T9 thuộc dự án Times City, căn hộ đã có phí dịch vụ ban công hướng Bắc, liên hệ xem nhà: 0947189339 giá cả thương lượng.",24970371,thương lượng,80-100
19,Times City,Apartment,3200.0,90.0,3,unknown,Nam,unknown,2020-11-13 00:00:00 UTC,None,"Gia đình chuyển đổi sang căn 4pn cần bán nhanh căn hộ 2pn tại Times City, 458 Minh Khai, Hai Bà Trưng, HN.- Diện tích 90m2 thiết kế với 3pn, 1 bếp 1pk và 2wc, ban công hướng Nam, view thoáng mát.- Nội thất cao cấp: Hệ tủ bếp, bếp hông ngoại, tủ âm tường, điều hòa âm trần, hệ thống chuông hình hiện đại, sàn gỗ cao cấp.- Giá bán: 3,2 tỷ bao phí sang tên.Liên hệ xem căn hộ: 0962.984.823.",26942120,3-4.5,80-100
20,Times City,Apartment,2750.0,75.0,2,unknown,unknown,unknown,2020-11-13 00:00:00 UTC,None,"Do gia đình chuyển về sang nước ngoài định cư nên cần bán gấp căn hộ 75m2 tại Times City, 458 Minh Khai, HBT, HN.- Thiết kế 2 PN vuông vắn, 1 phòng khách, 1 bếp, ban công hướng Bắc, view thoáng mát.- Nội thất nguyên bản: Tủ âm tường, điều hòa âm trần, đèn chiếu sáng, bếp hồng ngoại, hệ thống hút mùi, sàn gỗ.- Giá: 2.75 tỷ bao phí.Liên hệ xem căn hộ: 0962.984.823.",27783234,2-3,50-80
21,Times City,Apartment,2000.0,53.0,1,unknown,unknown,unknown,2020-11-13 00:00:00 UTC,None,"Do chuyển căn rộng hơn nên gia đình tôi cần bán căn 1 phòng ngủ Times City.- Diện tích: 53m2.- Số phòng ngủ: 1 phòng ngủ.- Tầng trung.- View thoáng, không chắn tòa.- Miễn phí dịch vụ 10 năm.- Có lost ô tô dưới hầm.- Full nội thất sang xịn mịn, nhà mới ít ở.- Liên hệ: 0865 48 2882.",27779104,2-3,50-80
22,Times City,Apartment,8500.0,190.0,>=4,unknown,unknown,unknown,2020-11-13 00:00:00 UTC,None,"Tôi có nhu cầu bán chung cư 190m2 Times City Vincom 458 Minh Khai.Tôi đập thông 2 căn hộ cạnh nhau sửa thành 4PN phòng khách rất rộng rãi, tất cả các phòng đều có ban công và cửa sổ thoáng.Giá bán: 8,5 tỷ.Bạn nào quan tâm thực sự liên hệ trực tiếp: 0913 84 2237.",18888774,7.5-10,150-250
23,Times City,Apartment,3050.0,81.3,2,unknown,Nam,unknown,2020-11-12 00:00:00 UTC,None,"Gia đình cần bán nhanh căn hộ 2 phòng ngủ, View hồ nước Tòa vip T10 Times City giá chốt 3.05 tỷ bao phí.- Diện tích: 81.3m2.- Thiết kế: 2 phòng ngủ vuông vắn, Phòng khách rộng rãi với ban công hướng nam thoáng mát, 2 vệ sinh và bếp khép kín.- Nội thất cơ bản: Hệ thống chiếu sáng, đèn chùm sang trọng, sàn gỗ, trần thạch cao, điều hòa riêng từng phòng cho phòng ngủ và phòng khách. Phòng bếp có đầy đủ hệ thống tủ bếp, bếp từ hồng ngoại, chậu rửa inox.- Giá bán: 3.05 tỷ (chủ nhà chịu toàn bộ phí sang tên).- Pháp lý: Căn hộ đã có sổ đỏ.Liên hệ xem nhà: 0972429193 (Zalo, Viber).",27766535,3-4.5,80-100
24,Times City,Apartment,3300.0,94.4,2,unknown,Bắc,unknown,2020-11-12 00:00:00 UTC,None,"Không có nhu cầu sử dụng gia đình cần bán nhanh căn hộ 2 phòng ngủ, Tòa T1 Times City giá 3.3 tỷ bao toàn bộ phí sang tên.- Diện tích: 94.4m2.- Thiết kế: 2 phòng ngủ vuông vắn, Phòng khách rộng rãi với ban công hướng bắc View Sông Hồng thoáng mát, 2 vệ sinh và bếp khép kín.- Nội thất cơ bản: Hệ thống chiếu sáng, đèn chùm sang trọng, sàn gỗ, trần thạch cao, điều hòa riêng từng phòng cho phòng ngủ và phòng khách. Phòng bếp có đầy đủ hệ thống tủ bếp, bếp từ hồng ngoại, chậu rửa inox.- Giá bán: 3.3 tỷ (chủ nhà chịu toàn bộ phí sang tên).- Pháp lý: Căn hộ đã có sổ đỏ.Liên hệ xem nhà: 0972429193 (Zalo, Viber).",27766523,3-4.5,80-100
25,Times City,Apartment,4150.0,120.0,3,unknown,unknown,có sổ đỏ/sổ hồng,2020-11-12 00:00:00 UTC,None,"Cần bán 3 ngủ 120m2, tầng trung, Times City, giá 4.15 tỷ bao phí.Thông tin căn hộ như sau:Gia đình chuyển lên căn rộng hơn nên bán lại căn hộ 3 phòng ngủ, 2WC, tòa T, căn hộ thiết kế 3 phòng ngủ rộng, 2 ban công.Diện tích căn hộ 120m2.Pháp lý: Sổ đỏ chính chủ.Giá bán 4.15 tỷ bao phí.Liên hệ xem nhà 0972429193 (zalo, viber. ).",27766513,3-4.5,100-150
26,Times City,Apartment,3200.0,90.0,2,unknown,Nam,unknown,2020-11-12 00:00:00 UTC,None,"Gia đình chuyển đổi sang căn 4PN cần bán nhanh căn hộ 2PN tại Times City, 458 Minh Khai, Hai Bà Trưng, HN.- Diện tích 90m2 thiết kế với 2PN, 1 bếp 1PK và 2WC, Ban công hướng Nam, view thoáng mát.- Nội thất cao cấp: Hệ tủ bếp, bếp hông ngoại, tủ âm tường, điều hòa âm trần, hệ thống chuông hình hiện đại, sàn gỗ cao cấp.- Giá bán: 3.2 tỷ bao phí sang tên.Liên hệ xem căn hộ: 0972429193.",27766462,3-4.5,80-100
27,Times City,Apartment,3900.0,110.0,3,unknown,unknown,unknown,2020-11-12 00:00:00 UTC,None,"Chuyển nhà sang Park Hill, cần bán lại căn hộ 3 phòng ngủ thoáng tầng 20 tòa T08 Times City.Hướng view Sông Hồng, cầu Vĩnh Tuy.Căn hộ có diện tích 110m2 được thiết kế với 3 phòng ngủ sáng.Còn miễn phí 8 năm dịch vụ và 3 năm đỗ xe ô tô.Giá: 3,9 tỷ (Bao toàn bộ phí sang tên).LH xem nhà: 0979 098 826.",14512591,3-4.5,100-150
28,Times City,Apartment,3200.0,95.0,2,unknown,unknown,unknown,2020-11-12 00:00:00 UTC,None,"Siêu rẻ! Bán nhanh căn 95m2, 2PN tại Times City, hướng Nam, tầng trung, giá chỉ 3.2 tỷ bao phí. Lh. 0962984823.- Xem thêm tại: https://bit.ly/38o72tkGia đình chuyển đổi sang căn 4PN cần bán nhanh căn hộ 2PN tại Times City, 458 Minh Khai, Hai Bà Trưng, Hà Nội.- Diện tích 95m2 thiết kế với 2PN, 1 bếp 1PK và 2WC, ban công hướng Nam, view thoáng mát.- Nội thất cao cấp: Hệ tủ bếp, bếp hồng ngoại, tủ âm tường, điều hòa âm trần, hệ thống chuông hình hiện đại, sàn gỗ cao cấp.- Giá bán: 3.2 tỷ bao phí sang tên.Liên hệ xem căn hộ: 0962.984.823.",27765330,3-4.5,80-100
29,Times City,Apartment,4100.0,106.0,3,unknown,unknown,có sổ đỏ/sổ hồng,2020-11-12 00:00:00 UTC,None,"E muốn bán căn hộ tại T10, đang cần tiền mở cửa hàng, em bán nhanh trong 1 tuần ah với giá ban đầu là 4,5 tỷ giờ xuống chỉ còn 4,1 tỷ bao phí, vào luôn.Nhà có 2 ban công rộng, sáng, 3 phòng ngủ. Diện tích 106m2. View trực diện nhạc nước.LH trực tiếp em Phương Anh 0834855792.Anh chị em thiện chí mua thì xem nhà lúc nào cũng được.",27404249,3-4.5,100-150
30,Times City,Apartment,7400.0,186.0,>=4,unknown,Tây-Nam,có sổ đỏ/sổ hồng,2020-11-11 00:00:00 UTC,None,"Gia đình có nhu cầu bán 02 căn hộ đập thông tại tòa T04, tầng thấp - KĐT Times City.- Diện tích: 186m2.- Số lượng phòng ngủ: 04 phòng ngủ + 01 phòng thay đồ.- Ban công Tây Nam.- Nhà đã sửa sang toàn bộ, lát sàn, trần, sửa lại toàn bộ hệ thống nội thất.- Có lost ô tô.- Sổ đỏ chính chủ cầm tay.- Giá: 7,4 tỷ, có thương lượng cho khách thiện chí.- Liên hệ xem nhà: 0865482882.",27755419,4.5-7.5,150-250
